Precinct 46,,
Absentee Turnout,95,3.84%
Total...,"1,377",55.70%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1304,96.24%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.07%
REP - BUSH/CHENEY,45,3.32%
IND - NADER/CAMEJO,5,0.37%
"Write In, if any ",0,0.00%
Total...,"1,355",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1294,97.15%
REP - MICHAEL ANDREW MONROE,36,2.70%
"Write In, if any ",2,0.15%
Precinct 125,,
Registration & Turnout,,"3,954"
Election Day Turnout,2067,52.28%
Absentee Turnout,153,3.87%
Total...,"2,220",56.15%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2124,97.21%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,1,0.05%
SWP - HARRIS/TROWE,3,0.14%
REP - BUSH/CHENEY,54,2.47%
IND - NADER/CAMEJO,3,0.14%
"Write In, if any ",0,0.00%
Total...,"2,185",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2065,97.64%
REP - MICHAEL ANDREW MONROE,48,2.27%
"Write In, if any ",2,0.09%
Precinct 126,,
Registration & Turnout,,"3,420"
Election Day Turnout,1590,46.49%
Absentee Turnout,129,3.77%
Total...,"1,719",50.26%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1639,96.13%
SGN - COBB/LaMARCHE,4,0.23%
LIB - BADNARIK/CAMPAGNA,3,0.18%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,55,3.23%
IND - NADER/CAMEJO,2,0.12%
"Write In, if any ",2,0.12%
Total...,"1,705",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1609,96.69%
REP - MICHAEL ANDREW MONROE,54,3.25%
"Write In, if any ",1,0.06%
Precinct 127,,
Registration & Turnout,,"4,211"
Election Day Turnout,2393,56.83%
Absentee Turnout,243,5.77%
Total...,"2,636",62.60%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2345,89.74%
SGN - COBB/LaMARCHE,8,0.31%
LIB - BADNARIK/CAMPAGNA,4,0.15%
SWP - HARRIS/TROWE,1,0.04%
REP - BUSH/CHENEY,231,8.84%
IND - NADER/CAMEJO,20,0.77%
"Write In, if any ",4,0.15%
Total...,"2,613",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2328,91.15%
REP - MICHAEL ANDREW MONROE,216,8.46%
"Write In, if any ",10,0.39%
Precinct 128,,
Registration & Turnout,,"2,065"
Election Day Turnout,1055,51.09%
Absentee Turnout,92,4.46%
Total...,"1,147",55.54%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1021,89.64%
SGN - COBB/LaMARCHE,5,0.44%
LIB - BADNARIK/CAMPAGNA,4,0.35%
SWP - HARRIS/TROWE,1,0.09%
REP - BUSH/CHENEY,95,8.34%
IND - NADER/CAMEJO,11,0.97%
"Write In, if any ",2,0.18%
Total...,"1,139",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1015,91.28%
REP - MICHAEL ANDREW MONROE,89,8.00%
"Write In, if any ",8,0.72%
Precinct 129,,
egistration & Turnout,,"1,666"
Election Day Turnout,662,39.74%
Absentee Turnout,167,10.02%
Total...,829,49.76%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,723,88.28%
SGN - COBB/LaMARCHE,2,0.24%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.12%
REP - BUSH/CHENEY,84,10.26%
IND - NADER/CAMEJO,6,0.73%
"Write In, if any ",3,0.37%
Total...,819,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,701,88.96%
REP - MICHAEL ANDREW MONROE,84,10.66%
"Write In, if any ",3,0.38%
Precinct 130,,
Registration & Turnout,,"2,505"
Election Day Turnout,1125,44.91%
Absentee Turnout,231,9.22%
Total...,"1,356",54.13%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,978,72.61%
SGN - COBB/LaMARCHE,4,0.30%
LIB - BADNARIK/CAMPAGNA,5,0.37%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,337,25.02%
IND - NADER/CAMEJO,16,1.19%
"Write In, if any ",7,0.52%
Total...,"1,347",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,969,75.17%
REP - MICHAEL ANDREW MONROE,307,23.82%
"Write In, if any ",13,1.01%
Precinct 131,,
Registration & Turnout,,807
Election Day Turnout,267,33.09%
Absentee Turnout,23,2.85%
Total...,290,35.94%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,271,94.76%
SGN - COBB/LaMARCHE,1,0.35%
LIB - BADNARIK/CAMPAGNA,1,0.35%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,12,4.20%
IND - NADER/CAMEJO,0,0.00%
"Write In, if any ",1,0.35%
Total...,286,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,264,96.00%
REP - MICHAEL ANDREW MONROE,11,4.00%
"Write In, if any ",0,0.00%
Precinct 132,,
Registration & Turnout,,"1,974"
Election Day Turnout,974,49.34%
Absentee Turnout,83,4.20%
Total...,"1,057",53.55%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1010,97.58%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,22,2.13%
IND - NADER/CAMEJO,1,0.10%
"Write In, if any ",2,0.19%
Total...,"1,035",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1006,98.34%
REP - MICHAEL ANDREW MONROE,14,1.37%
"Write In, if any ",3,0.29%
Precinct 133,,
Registration & Turnout,,"1,489"
Election Day Turnout,791,53.12%
Absentee Turnout,57,3.83%
Total...,848,56.95%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,783,93.10%
SGN - COBB/LaMARCHE,3,0.36%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,49,5.83%
IND - NADER/CAMEJO,4,0.48%
"Write In, if any ",2,0.24%
Total...,841,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,796,96.84%
REP - MICHAEL ANDREW MONROE,23,2.80%
"Write In, if any ",3,0.36%
Precinct 134,,
Registration & Turnout,,"2,028"
Election Day Turnout,969,47.78%
Absentee Turnout,69,3.40%
Total...,"1,038",51.18%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,987,96.39%
SGN - COBB/LaMARCHE,1,0.10%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,33,3.22%
IND - NADER/CAMEJO,2,0.20%
"Write In, if any ",1,0.10%
Total...,"1,024",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,982,98.00%
REP - MICHAEL ANDREW MONROE,18,1.80%
"Write In, if any ",2,0.20%
Precinct 135,,
Registration & Turnout,,"3,023"
Election Day Turnout,1543,51.04%
Absentee Turnout,175,5.79%
Total...,"1,718",56.83%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1597,94.72%
SGN - COBB/LaMARCHE,3,0.18%
LIB - BADNARIK/CAMPAGNA,1,0.06%
SWP - HARRIS/TROWE,2,0.12%
REP - BUSH/CHENEY,73,4.33%
IND - NADER/CAMEJO,7,0.42%
"Write In, if any ",3,0.18%
Total...,"1,686",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1618,96.31%
REP - MICHAEL ANDREW MONROE,60,3.57%
"Write In, if any ",2,0.12%
Precinct 136,,
Registration & Turnout,,"1,135"
Election Day Turnout,682,60.09%
Absentee Turnout,127,11.19%
Total...,809,71.28%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,662,82.34%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,3,0.37%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,124,15.42%
IND - NADER/CAMEJO,11,1.37%
"Write In, if any ",4,0.50%
Total...,804,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,637,82.73%
REP - MICHAEL ANDREW MONROE,130,16.88%
"Write In, if any ",3,0.39%
Precinct 137,,
egistration & Turnout,,835
Election Day Turnout,468,56.05%
Absentee Turnout,69,8.26%
Total...,537,64.31%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,494,93.03%
SGN - COBB/LaMARCHE,1,0.19%
LIB - BADNARIK/CAMPAGNA,4,0.75%
SWP - HARRIS/TROWE,2,0.38%
REP - BUSH/CHENEY,23,4.33%
IND - NADER/CAMEJO,7,1.32%
"Write In, if any ",0,0.00%
Total...,531,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,497,95.21%
REP - MICHAEL ANDREW MONROE,22,4.21%
"Write In, if any ",3,0.57%
Precinct 138,,
Registration & Turnout,,"2,763"
Election Day Turnout,1659,60.04%
Absentee Turnout,430,15.56%
Total...,"2,089",75.61%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1684,80.96%
SGN - COBB/LaMARCHE,8,0.38%
LIB - BADNARIK/CAMPAGNA,10,0.48%
SWP - HARRIS/TROWE,3,0.14%
REP - BUSH/CHENEY,351,16.88%
IND - NADER/CAMEJO,18,0.87%
"Write In, if any ",6,0.29%
Total...,"2,080",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1661,83.93%
REP - MICHAEL ANDREW MONROE,304,15.36%
"Write In, if any ",14,0.71%
Precinct 139,,
Registration & Turnout,,"1,89"
Election Day Turnout,1088,57.57
Absentee Turnout,121,6.4
Total...,"1,209",63.97
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final
DEM - KERRY/EDWARDS,1133,95.29
SGN - COBB/LaMARCHE,4,0.34
LIB - BADNARIK/CAMPAGNA,0,0
SWP - HARRIS/TROWE,0,0
REP - BUSH/CHENEY,49,4.12
IND - NADER/CAMEJO,2,0.17
"Write In, if any ",1,0.08
Total...,"1,189",100
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final
DEM - ELEANOR HOLMES NORTON,1151,98.04
REP - MICHAEL ANDREW MONROE,18,1.53
"Write In, if any ",5,0.43
Precinct 140,,
Registration & Turnout,,"2,019"
Election Day Turnout,949,47.00%
Absentee Turnout,53,2.63%
Total...,"1,002",49.63%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,930,94.99%
SGN - COBB/LaMARCHE,1,0.10%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.10%
REP - BUSH/CHENEY,44,4.49%
IND - NADER/CAMEJO,2,0.20%
"Write In, if any ",1,0.10%
Total...,979,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,941,97.61%
REP - MICHAEL ANDREW MONROE,20,2.07%
"Write In, if any ",3,0.31%
Precinct 141,,
Registration & Turnout,,"2,983"
Election Day Turnout,1624,54.44%
Absentee Turnout,277,9.29%
Total...,"1,901",63.73%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1727,91.52%
SGN - COBB/LaMARCHE,15,0.79%
LIB - BADNARIK/CAMPAGNA,7,0.37%
SWP - HARRIS/TROWE,1,0.05%
REP - BUSH/CHENEY,120,6.36%
IND - NADER/CAMEJO,14,0.74%
"Write In, if any ",3,0.16%
Total...,"1,887",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1670,91.26%
REP - MICHAEL ANDREW MONROE,149,8.14%
"Write In, if any ",11,0.60%
Precinct 142,,
Registration & Turnout,,"1,625"
Election Day Turnout,1019,62.71%
Absentee Turnout,130,8.00%
Total...,"1,149",70.71%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,980,85.96%
SGN - COBB/LaMARCHE,0,0.00%
LIB - BADNARIK/CAMPAGNA,3,0.26%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,142,12.46%
IND - NADER/CAMEJO,12,1.05%
"Write In, if any ",3,0.26%
Total...,"1,140",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,990,88.55%
REP - MICHAEL ANDREW MONROE,120,10.73%
"Write In, if any ",8,0.72%
Precinct 1,,
DEM - KERRY/EDWARDS,1491,1491
SGN - COBB/LaMARCHE,4,4
LIB - BADNARIK/CAMPAGNA,3,3
SWP - HARRIS/TROWE,1,1
REP - BUSH/CHENEY,90,90
IND - NADER/CAMEJO,6,6
"Write In, if any",4,4
DEM - ELEANOR HOLMES NORTON,224,224
REP - MICHAEL ANDREW MONROE 45,45,45
Precinct 2,,
DEM - KERRY/EDWARDS,213,213
SGN - COBB/LaMARCHE,1,1
LIB - BADNARIK/CAMPAGNA,1,1
SWP - HARRIS/TROWE,0,0
REP - BUSH/CHENEY,62,62
IND - NADER/CAMEJO,7,7
"Write In, if any",1,1
DEM - ELEANOR HOLMES NORTON,224,224
REP - MICHAEL ANDREW MONROE,45,45
"Write In, if any",3,3
Precinct 3,,
DEM - KERRY/EDWARDS,1008,1008
SGN - COBB/LaMARCHE,1,1
LIB - BADNARIK/CAMPAGNA,8,8
SWP - HARRIS/TROWE,1,1
REP - BUSH/CHENEY,363,363
IND - NADER/CAMEJO,13,13
"Write In, if any",8,8
DEM - ELEANOR HOLMES NORTON,1052,1052
REP - MICHAEL ANDREW MONROE,290,290
"Write In, if any",8,8
Precinct 4,,
DEM - KERRY/EDWARDS,925,925
SGN - COBB/LaMARCHE,3,3
LIB - BADNARIK/CAMPAGNA,5,5
SWP - HARRIS/TROWE,1,1
REP - BUSH/CHENEY,266,266
IND - NADER/CAMEJO,12,12
"Write In, if any",5,5
DEM - ELEANOR HOLMES NORTON,904,904
REP - MICHAEL ANDREW MONROE,251,251
"Write In, if any",10,10
Precinct 5,,
DEM - KERRY/EDWARDS,1771,1771
SGN - COBB/LaMARCHE,8,8
LIB - BADNARIK/CAMPAGNA,7,7
SWP - HARRIS/TROWE,0,0
REP - BUSH/CHENEY,600,600
IND - NADER/CAMEJO,16,16
"Write In, if any",8,8
DEM - ELEANOR HOLMES NORTON,1753,1753
REP - MICHAEL ANDREW MONROE,523,523
"Write In, if any",14,14
